   1 0	Yes
   1 rd party ad platform	first
   1 reading	the victim host
   1 real time debug messages	the malware
   1 reconnaissance	phases
   1 reconnaissance	purposes
   1 reconnaissance	tactics
   1 redirection	Yahoo
   1 redundancies	control servers
   1 refer	RSA NetWitness capabilities
   1 reference sample	samples
   1 reform	the army Ukraine
   1 registrant details	indicators
   1 registrants	domains
   1 registry keys	stages
   1 registry keys	the attack
   1 registry values	system information
   1 regular portable executable	Magic Hound
   1 relations	fields Defense
   1 relationships	activity
   1 relays	types
   1 release	new information
   1 relevant decoy documents	the phishing lure
   1 religious belief	feelings
   1 remote access	RAT functionality
   1 remote access tools	place
   1 remote email	all remote access solutions
   1 remote monitoring	share the same basic functionality
   1 remote shell	commands
   1 remote storage	data files
   1 removable flash drives	USB devices
   1 repetitions	data
   1 reports	recipient
   1 representatives	GGE
   1 reputation	a software toy
   1 reputation scanning	proactive detection methods
   1 requirements	this threat actor
   1 research	industries
   1 research	proprietary information
   1 research institutes	entities
   1 researchers	Codoso
   1 researchers	entities
   1 reserves	s future oil requirements
   1 resources	a result
   1 resources	an extension list
   1 respond	a service DLL
   1 responses	PowerShell
   1 results	indicators
   1 retail industry	financial industry
   1 retrieval	BACKSPACE
   1 return None def FurDIGvZs	return GPvRqDBvWy
   1 reverse engineering	skills
   1 revision	software vendors
   1 rights organizations	NGOs
   1 risk	that information
   1 robust detection	sections
   1 rocket	risks rise
   1 rogue antivirus	activities
   1 rootkit	Features
   1 rootkit functionality	advanced protection method
   1 routers	network devices
   2 routers	network hardware
   1 run	super user plist
   1 running	a service
   1 runs	kernel level code
   1 runtime checks	capabilities
   1 runtime checks	counteranalysis capabilities
   1 s	profiles
   1 s	the rest
   1 s DGFI	FinFisher customer
   1 s PIVY	shellcode
   1 s activities	the company
   1 s contacts	computers
   1 s executable file	resources
   1 s experience	seamless
   1 s involvement	a 
   1 s key cyber	a manifestation
   1 s network	a smokescreen
   1 s network	attackers
   1 s office	Tibetan organizations
   1 s opinion	a guide
   1 s signatures	data
   1 s system	machines
   1 sabotage	purposes
   1 safety	areas
   1 same time	accoounts
   1 same victim organization	incidents
   1 sample	output
   1 samples	BKDR SLOTH
   1 samples	Hacktool
   1 samples	d
   1 samples	factors
   1 samples	services
   1 sandbox automatic analysis	malicious activity
   1 sandboxes	dynamic analysis systems
   1 sandboxes	environments
   1 sandboxes	resources
   1 schedule	details
   1 scientific research	domains
   1 scientific research	sectors
   1 scientists	scholars
   1 scope	indicators
   1 screen	intelligence
   1 screen capture	commands
   1 screen capture	features
   1 screen capture	share the same basic functionality
   1 screen capturing	RATs
   1 screen capturing	advanced functionality
   1 screenshots	modules
   1 sderase	projects
   1 sea construction	entities
   1 sections	PAGE EXECUTE READWRITE
   1 sectors	specialist knowledge
   1 security	a fundamental need
   1 security	a priority
   1 security	an issue
   1 security application	an embedded decoy
   1 security companies	part
   1 security patches	installed software
   1 security programs	programs
   1 security researchers	the attack
   1 security updates	part
   1 security vendors	IXESHE variants
   2 security architecture	issues
   1 selling	terrorist activity
   1 sense	a general precaution
   1 sense	the actor
   1 serial number	OS information
   1 serial variant production	factors
   1 server	FinFisher product
   1 server	part
   1 server	the payload
   1 server compartmentation	basic operational security practices
   1 servers	Command
   1 servers	Tor exit node
   1 servers	a pivot
   1 servers	indicators
   1 servers	nodes
   1 servers	part
   1 servers	resources
   1 servers	servers
   1 servers	services
   2 servers	command
   2 servers	network hardware
   3 servers	systems
   1 serves	a down
   1 serves	a downloader
   1 serves	a loader
   1 serves	a model
   1 serves	a protected container
   1 serves	an attribute
   1 service	mobile fire
   1 service attacks	vectors
   1 service companies	stocks
   1 service scanner	offensive network reconnaissance tools
   1 services	Ukrainians
   1 services	actions
   1 services	an indispensable negotiator
   1 services	functions
   1 several intelligence services	third party actors
   1 sewerage companies	stocks
   1 share	much information
   1 shares experiences	part
   1 shares the same filename	the document file
   1 shellcode	anything
   1 shipping enterprises	entities
   1 shoes	products
   1 signatures	threat intelligence
   1 signs	artifacts
   1 similar beaconing data blocks	incidents
   1 similar content	winone1
   1 similar custom	targets
   1 similar target systems	Stuxnet
   1 similar tasking	the Chinese play catch
   1 similar use cases	SeaDuke
   1 single factor	the basis
   1 site	victims
   1 site content	a phone number
   1 size	file information
   1 skype	communications mechanism
   1 slavery	UAE
   2 smartphones	devices
   1 smuggling	illicit activity
   1 smurf attacks	attacks
   1 social engineering	an entry point
   1 social engineering	an initial attack vector
   1 social engineering	vectors
   1 social engineering attacks	actions
   1 social engineering tactics	a means
   1 social networking platforms	services
   1 social networking platforms	technologies
   1 socket	WinSock2 calls
   1 softinc 	IP
   1 software	goods
   1 software	products
   1 software	technologies
   1 software artifacts	a direct effort
   1 software code analysis	issues
   1 software manufacturers	organizations
   1 software vulnerabilities	any suspicious activity
   1 soldiers	operators
   3 solid patch management endpoint	mechanisms
   1 solutions	Backdoor
   1 solutions	procedures
   1 some custom error messages	binaries
   1 some extent the naming schema	iSight refer
   1 some form	collaboration
   1 some form	content management system
   1 some form	cryptography
   1 some form	cybercrime activity
   1 some form	planning
   1 some form	quality control process
   1 some form	risk assessment
   1 some form	web email
   1 some industry reports	CozyDuke
   1 some security researchers	Just
   1 some sort	Kremlin coordination
   1 some sort	backdoor loader
   1 some sort	builder application
   1 some sort	coincidence
   1 some timeout values	the code
   1 someone posing	a representative
   1 something	states
   1 source code	comments
   2 source code	intellectual property theft
   1 spaces	characters
   1 spammers	the aax
   1 spear phishing	a point
   1 spear phishing	methods
   1 spear phishing	techniques
   1 spear phishing	the initial attack vector
   1 spear phishing	this targeted philosophy
   1 spear phishing emails	methods
   1 specific knowledge	valuable information
   1 spurious legitimation	Ukraine
   1 spyware	content
   1 ssl	words
   1 sslMM	early msnMM backdoors
   1 stack construction	obfuscation
   1 start	system components
   1 starters	Microsoft Visual Studio
   3 startup	a service
   1 state	factors
   1 state interest	policy matters
   1 state organisations	levels
   1 state security actors	administration systems
   1 static analysis categorization	activities
   1 statuses	a U
   1 stealth position	a random
   1 storage devices	intelligence
   1 stores a byte array	a key
   1 stores the configuration block	a resource
   1 strategic web compromise	a vector
   1 stress	performance parameters
   1 string	a marker
   1 string	the proxy username
   1 strings	data structures
   1 strings	parameters
   1 strings	tools
   1 structures	data
   1 style passing	parameters
   1 subcampaigns	part
   1 subdirectories	a sort
   1 subgroups	part
   1 such activity	part
   1 such functionality	a key
   1 such infection vectors	removable flash drives
   1 such information	type
   1 such information	unique bot id
   1 sudden executive departures	events
   1 supermarkets	locations
   1 support	weapons
   1 surprise	elements
   1 suspicious registry changes	malicious behavior
   1 svchost	process
   1 swap temp var 15	the temporary variable
   1 switches	network devices
   1 switches	physical internal infrastructure
   1 system	a mechanism
   1 system	commands
   1 system	system information
   1 system DLLs	the main module
   1 system administration	RATs
   1 system administrators	bank employees
   1 system design	projects
   1 system files	programs
   1 system information	the victim computer
   1 system information	the victim host
   1 system information	things
   1 system interaction	system information
   1 system processes	intelligence
   1 system survey	functionality
   1 systems	AgentBase
   1 systems	Windows
   1 systems	a primary defense
   1 systems	a result
   1 systems	bytes
   1 systems	the code
   1 tactical support	any purpose
   1 tactics	a broad instrument
   1 tactics	users
   1 tags	commands
   1 target	indicators
   1 targeting	a reasonable variation
   1 targets	APT32
   1 targets	campaigns
   1 targets	investigators
   1 tasks	persistence mechanisms
   1 taunts	supporters
   1 teardrop attack	attacks
   1 technical analysis	activities
   1 techniques	CosmicDuke persistence
   1 techniques	capabilities
   1 techniques	part
   1 techniques	the malware
   1 techniques	time passes
   1 technology	a delivery mechanism
   1 technology	intellectual property
   1 technology blueprints	intellectual property
   1 technology blueprints	valuable intellectual property
   1 telecom	industries
   1 telecom	sectors
   1 telecommunications	critical infrastructure components
   1 telecommunications	industries
   1 telecommunications	stocks
   1 telecommunications companies	Ukrainian cyberspace
   1 telecoms	CNI
   1 telecoms infrastructure software	sectors
   1 telemetry data	sources
   1 temperature	performance parameters
   1 tenure	chief
   1 termination	advanced network threats
   1 terms	iterative
   1 terrorism	crimes
   1 test results	intellectual property
   1 test results	valuable intellectual property
   1 test workstation use Windows Internet Explorer	default
   1 that directory	msmsgr
   1 that machine	a donor
   1 that password	a key component
   1 that string	a key
   1 the 	lists
   1 the 	the malware
   1 the German government	Sofacy
   1 the Indian government	an infection vector
   1 the North American grid	events
   1 the North Korean government	the malware
   1 the Syrian malware groups	groups
   1 the Syrian opposition	individuals
   1 the UAE government	the likely operator
   1 the Ukrainian conflict	Russia
   1 the Ukrainian government	entities
   1 the Ukrainian government	targets
   1 the Vietnamese backdoor	an example
   1 the Xtunnel infected machine	a pivot
   1 the ability	Fully functional remote desktop display
   1 the ability	RAT
   1 the ability	Trojan
   1 the ability	actions
   1 the ability	additional malware features
   1 the ability	basic backdoor functionality
   1 the ability	capabilities
   1 the ability	computer
   1 the ability	functionality
   1 the ability	remote access functions
   1 the ability	s toolset
   1 the ability	the backdoor
   1 the accessed artifact path matches	Hide rules
   1 the accidental bombing	incidents
   1 the actor	any data
   1 the actual control systems	a result
   1 the actual number	intrusion activity
   1 the addition	TCP protocol
   1 the adversary	illegitimate
   1 the aforementioned backconnect SSL	Various stealth methods
   1 the agreement	a game changer
   1 the annexation	the crisis
   1 the anniversary	dates
   1 the anticipated ability	factors
   1 the apparent timezone	timestamps
   1 the archive	CozyDuke dropper
   1 the attachment	CPL file
   1 the attachment	Microsoft Word document
   1 the attack	Black Vine
   1 the attack	CAB file
   1 the attack	a measure
   1 the attack	a multiplier
   1 the attack vector	PowerPoint presentation file
   1 the attacker	a toolbox
   1 the attacker	an identifier
   1 the attacker	part
   1 the attacker	the service
   1 the attempt	an attack
   1 the attribution grapevine	RUMINT
   1 the back door	a general service
   1 the backbone	PLAN 
   1 the backdoor	payload
   1 the backdoor payload	Wingbird
   1 the background	Android service
   1 the behavior	execution
   1 the binary	a wide character string
   1 the board	stakeholders
   1 the brighter side	a step
   1 the bypass	no other malware
   1 the caller	checks
   1 the capital	targets
   1 the cascade	a whole Figure
   1 the case	systems
   1 the censorship	internet access
   1 the client	a pivot
   1 the collection	the infected network
   1 the command field	CommandData structure
   1 the comment group	part
   1 the community	njRAT
   1 the completion	An indirect relationship
   1 the compromise	areas
   1 the compromise	details
   1 the computer	GracS
   1 the computer	a dropper
   1 the computer	vulnerabilities
   1 the computer name	the attacker
   1 the configuration blob	the infection ID 
   1 the configuration structure	the lpReserved parameter
   1 the conflict	a whole
   1 the conflict	times entities
   1 the content	February
   1 the content	intelligence
   1 the control	ActiveX controls
   1 the copied shortcut	an elevated process
   1 the country	Caucasus
   1 the country	part
   1 the country	targets
   1 the creation	member states
   1 the current function name	first parameter
   1 the current time	a seed
   1 the cyber actors	the conflict
   1 the cyber defence centre	an observer
   1 the cyber operations	the conflict
   1 the cyber world	part
   1 the cybersecurity industry	Rocket Kitten
   1 the date	EXIF metadata
   1 the date	other system information
   1 the death	actions
   1 the decoded string	the comment
   1 the decoy	Flash video file
   1 the decrypted form	the resource
   1 the default browser	a new process
   1 the defence	threats
   1 the descriptive 	pages
   1 the developer	Seems
   1 the development	cyberstrategy
   1 the development	modification
   1 the development	projects
   1 the development	strategies
   1 the development	the same university
   1 the digital vulnerability	groups
   1 the distractor IP	tactics
   1 the document	the blank square
   1 the domain	the plaintext configuration information
   1 the domain controller	local network
   1 the domain controller	servers
   1 the domain name system	core internet infrastructure
   1 the download url	strings
   1 the driver	a binary chunk
   1 the driver	a fake disk filter driver
   1 the driver	a service
   1 the dropper	components
   1 the economic stability	account aspects
   1 the economy	legitimacy
   1 the election	theme
   1 the email	a fake 
   1 the email body	a social engineering technique
   1 the embedded configuration string	strings
   1 the end	this shift
   1 the engine	Winnti system
   1 the engineering	the physical process
   1 the entire global economy	meager
   1 the establishment	EU organizations
   1 the event	some component factor
   1 the ever	regional security issues
   1 the exact same command line	the infector
   1 the exact same source code	the module Bunny
   1 the exact same time	the victim
   1 the execution	the code
   1 the exploit document	PowerShell script Figure
   1 the fact	C2 servers
   1 the fake domain	part
   1 the fake website catalogues	data
   1 the family	APT28 malware
   1 the family	SunOrcal
   1 the famous doctor	meanings
   1 the figure	a tree
   1 the file	JPG image
   1 the file	PE32
   1 the file	a cryptocontainer
   1 the file	the response payload
   1 the filename	Kernel32 DLL
   1 the final payload	NetWire
   1 the firewall	a failsafe mechanism
   1 the first sample	malware
   1 the first stage C2	Sinkholed Much
   1 the flame	Attacks
   1 the flame version	an infected computer
   1 the following	Afghan Government websites
   1 the following	HTTP request
   1 the following	HTTPS requests
   1 the following	POST requests
   1 the following	PYLOT
   1 the following	a simple algorithm
   1 the following	advice
   1 the following	an encrypted status message
   1 the following	errors
   1 the following	factors
   1 the following	files
   1 the following	information
   1 the following	local system information
   1 the following	logs
   1 the following	other information
   1 the following	something
   1 the following	the server
   1 the following Keylogger	hacking tools
   1 the following Rapid Triage	benefits
   1 the following VirtualMachine Debugger Sandbox Type S	debuggers
   1 the following process	a live command prompt cmd
   1 the following registry entry	a parameter
   1 the following regular expression	an initial filter grep
   1 the form	ADD
   1 the form	C file
   1 the form	DDOS operations
   1 the form	DLL files
   1 the form	GET
   1 the form	RAR files
   1 the form	RST
   1 the form	SFX files
   1 the form	TCP beaconing
   1 the form	a complex image request
   1 the form	a dll
   1 the form	a password
   1 the form	a person
   1 the form	a profile
   1 the form	a renamed netui3
   1 the form	a sequence
   1 the form	a standard executable image
   1 the form	a trojan dropper
   1 the form	a video
   1 the form	an email purporting
   1 the form	an in
   1 the form	an unsolicited e
   1 the form	another packet consisting
   1 the form	breaches
   1 the form	code analysis
   1 the form	containers
   1 the form	cyber espionage
   1 the form	data files
   1 the form	documents
   1 the form	espionage
   1 the form	executables
   1 the form	files
   1 the form	id
   1 the form	libcurld
   1 the form	modules
   1 the form	netui3
   1 the form	numbers
   1 the form	rumours
   1 the form	strings
   1 the form	symbolic information
   1 the form	tasks
   1 the form	the corresponding configuration data
   1 the form	the data sent
   1 the form	trade secrets
   1 the form	updates
   1 the form	viruses
   1 the form display	samples
   1 the formation	structures
   1 the future	Moscow
   1 the future	the group
   1 the future	the malware
   1 the general public	stakeholders
   1 the government	Ukraine
   1 the government	the Estonian economy
   1 the group	numerous Chinese cyber espionage actors
   1 the group	other notorious attack groups
   1 the hard disk serial number	fingerprint
   1 the hard drive	C Program
   1 the hardware	modems
   1 the history file	a part
   1 the home page	settings
   1 the hostname	panes
   1 the hostname	the infected computer
   1 the hour	criteria
   1 the image	a volume
   1 the implant	ShadowTech RAT
   1 the in	samples
   1 the index	the stored value
   1 the individual	a contributor
   1 the infected computer	Base64 parameters
   1 the infected computer	a mechanism
   1 the infected machine	a proxy server
   1 the infected system	a string
   1 the infiltration	methods
   1 the information	FTP server
   1 the infrastructure	infrastructures
   1 the initial feed stage valves	valves
   1 the installation	a service
   1 the installation log file name	Uroburos
   1 the internal chat platform	evident
   1 the internal name	identifiers
   1 the international community	a country
   1 the internet	a means
   1 the internet	a potential tool
   1 the internet	a security tool
   1 the internet	part
   1 the intrusion	APT adversaries
   1 the issuer	certificate fields
   1 the key length	an argument
   1 the known cyber attacks	some advanced cyber espionage malware
   1 the lab	part
   1 the lab	the server
   1 the lack	crimes
   1 the lack	factors
   1 the land attack cruise missile	Items
   1 the language	tendencies
   1 the language	the intended victim
   1 the language code	a false flag
   1 the lankiller archive	README file
   1 the legal framework	warfare
   1 the legal software TeamViewer	a main part
   1 the list	components
   1 the list	things
   1 the loader	March
   1 the local time zone	C
   1 the location	elements
   1 the location	information
   1 the location folder	hidden
   1 the login credentials	CosmicDuke
   1 the machine	rundll32
   1 the machine name	basic information
   1 the macro content	show
   1 the main backdoor thread	a subprocedure call
   1 the main component	DLL
   1 the main purpose	items
   1 the major patch levels	the machine
   1 the malicious binary	details
   1 the malware	Farfli variant
   1 the malware	Gh0st RAT
   1 the malware	SLServer
   1 the malware	TROJ GHOLE
   1 the malware	a code
   1 the malware	a driver
   1 the malware	a whole
   1 the malware	part
   1 the malware	parts
   1 the malware	spyware
   1 the malware	the first command line parameter
   1 the malware	the following example shows
   1 the malware author	壳
   1 the malware components	the product
   1 the malware families	APT32 activity
   1 the malware family	SLServer
   1 the malware issues	HTTP POST request
   1 the massive data leak	cyberattacks
   1 the maximum frequency	a configuration
   1 the message	Microsoft Word document
   1 the message	a parameter
   1 the minimalistic approach	Red October
   1 the minor difference	similar behaviour
   1 the misuse	UAE
   1 the module path	data
   1 the modus operandi	the threat actor
   1 the name	Arabic
   1 the name	application publisher
   1 the name	aspects
   1 the name	full delivery address
   1 the name	links
   1 the name Lanny Chen	information
   1 the native filesystem	the main storage
   1 the nature	attacks
   1 the netcat utility	a reverse backdoor shell
   1 the netcat utility	a reverse backdoor shell Copyright
   1 the network	Figure
   1 the network	the new proxy node
   1 the network act	routers
   1 the network layer	TCP HBEAT REQUEST TROJ DRPBEAT
   1 the network server	points
   1 the new persistence mechanism	a correlation point
   1 the next stage	Windows PE DLL module
   1 the next step	PE
   1 the number	s operations
   1 the official website	malware
   1 the oil industry	sectors
   1 the one	APT intrusions
   1 the online Duo Insight	a particular domain
   1 the operational information	Estonia
   1 the organisation	Ukraine
   1 the original campaign	the majority
   1 the other known version	order sample
   1 the package name The application	impersonate IEC
   1 the packer	Safengine Licensor
   1 the page	an exploit kit
   1 the password	means
   1 the password	useful configuration data
   1 the past year	researchers
   1 the payload	ASLASLKK223
   1 the payload	ASLASLKK2231
   1 the payload	a batch script
   1 the payload	an encrypted file
   1 the payload	memory Defines
   1 the payload	the decryption key
   1 the phenomenon	witness
   1 the population	mainstream information channels
   1 the pornographic material	RAR
   1 the port	a listener
   1 the power grid	US electronics
   1 the presence	domains
   1 the presence	the compromised system
   1 the press	sources
   1 the prior office monkey	functionality InternetCloseHandle InternetReadFile HttpSendRequestA HttpOpenRequestA HttpQueryInfoA InternetConnectA InternetCrackUrlA InternetOpenA InternetSetOptionW GetAdaptersInfo Much
   1 the private sector	entities
   1 the process	gathers system information
   1 the prohibition	international law
   1 the rate	customers
   1 the real update service	the new executable look
   1 the recent transformation	Ukraine
   1 the registry	BASE64
   1 the registry	a startup method
   1 the registry	components
   1 the registry	functions
   1 the registry	storage
   1 the reintroduced bug	Tor Browsers
   1 the remote machine	a share
   1 the resource locales	indicators
   1 the rest	CozyDuke
   1 the rest	Microsoft products
   1 the result	the decryption key
   1 the right	UN Charter
   1 the role	a network relay
   1 the running service	Poison Ivy server
   1 the same address	match
   1 the same address space	Sedreco 
   1 the same algorithm	ELIRKS
   1 the same algorithm	decrypt in place
   1 the same algorithm	the backdoor
   1 the same attacker	the malware
   1 the same check sum	the original file
   1 the same checksum	the specified message
   1 the same code	Stuxnet
   1 the same configuration structure	the out
   1 the same cryptographic algorithm	the recon tool
   1 the same data	the previous variant
   1 the same date	the malware sample
   1 the same date	the modified date
   1 the same day	Oracle
   1 the same day	the spear phishing email
   1 the same development environment	MiniDuke
   1 the same digital certificate	traits
   1 the same directory	the config file
   1 the same directory	the driver file
   1 the same directory	the dropper
   1 the same directory	the initial dropper
   1 the same directory	the original binary this file
   1 the same directory	the second component
   1 the same domain names	DownExecute
   1 the same download link pattern	TSPY RAMNY
   1 the same dwCommandType	the original command
   1 the same email address	the previous attempt
   1 the same file	the data
   1 the same file name	a binary file
   1 the same filename	the previous attack
   1 the same filename	the sample
   1 the same folder	TeamViewer
   1 the same format	the token
   1 the same functionality	the 32
   1 the same functionality	the function number
   1 the same functionality	the original program
   1 the same functionality	the static server
   1 the same host server	malware
   1 the same key	the configuration file
   1 the same level	Wiper
   1 the same loader	MiniDuke 
   1 the same location	the report http
   1 the same logon credential	the user
   1 the same manner	Stuxnet
   1 the same manner	a traditional border network
   1 the same manner	the military espionage malware
   1 the same manner	the previous input blocks
   1 the same mutex	CMSTAR
   1 the same name	the development machine
   1 the same name	the dll file
   1 the same name	the generated filename
   1 the same name	the malware filename
   1 the same network	the victim
   1 the same network segment	the server
   1 the same njq8	the exploit
   1 the same path	the initial request
   1 the same persistence mechanism	COMpfun
   1 the same platform	OnionDuke
   1 the same public key	SierraJuliett
   1 the same registrant	micro
   1 the same server	the fake CDT
   1 the same size	smtXX
   1 the same sort	language switch
   1 the same sort	weaponised document
   1 the same source base	KorDllbot
   1 the same source code	the applet SHA1
   1 the same source code	the dropper
   1 the same stature	a minister
   1 the same system information	described
   1 the same tasking	Cluster
   1 the same team	PinchDuke
   1 the same technique	Tavdig
   1 the same time	PinchDuke
   1 the same time	Skelky
   1 the same time	a decoy document
   1 the same time	info
   1 the same time	the corresponding recon tool
   1 the same time	the original spearphishing URL
   1 the same time	the software the user
   1 the same time zone	Moscow
   1 the same value	the command
   1 the same version	Mansoor
   1 the same way	Kimsuky
   1 the same way	RSA
   1 the same way	command
   1 the same way	the file back283671047171
   1 the same way	the infection
   1 the same way	the initial phone
   1 the same way	the main module
   1 the sample	FinFly Web
   1 the sample	samples
   1 the scale	Russia 
   1 the second stage C2	part
   1 the second stage loader	PE DLL module
   1 the server	a bad actor
   1 the server	a proof
   1 the server	the attack URLs
   1 the server variant	a server
   1 the service	Winnti system
   1 the service manager	tools
   1 the session	features
   1 the shellcode payload	Metasploit reverse shell
   1 the shortened link	links
   1 the sort	RUMINT
   1 the sort	organizations
   1 the source	a client
   1 the spread	sensitive information
   1 the spread	threats
   1 the spy service	some doubt
   1 the startup configurations	commonplace registry entries
   1 the string	the information structure
   1 the subject	each email
   1 the subroutine uploadPOST	samples
   1 the support	the usual backdoor functionality
   1 the suppression	goals
   1 the sustained targeting	APT10
   1 the system	Havex versions
   1 the system	a whole
   1 the system dynamics	variables
   1 the system version	data
   1 the target	a result
   1 the target	cases
   1 the target	innocuous 
   1 the target	target specifications
   1 the target The attachment	RAR archive
   1 the target computers	an attachment
   1 the targeted attack	BackDoor
   1 the targeted use	computer network exploitation
   1 the targeting	indicators
   1 the task name	Some information
   1 the technology sector	industries
   1 the theft	the world
   1 the threat actor	a mercenary entity
   1 the timing	issues
   1 the tool	an all
   1 the total number	research
   1 the type	parameters
   1 the ultimate payload	the website
   1 the unicode version	strings
   1 the uninstaller module	utilities
   1 the unique shellcode	this campaign
   1 the use	FireEye report
   1 the use	Flash Player
   1 the use	PLCSIM
   1 the use	criminal cyber activities
   1 the use	cyber espionage
   1 the use	developments
   1 the use	elements
   1 the use	events
   1 the use	evolves
   1 the use	investigation
   1 the use	the exploitation
   1 the use	workarounds
   1 the user	a form
   1 the user	a trustworthy entity
   1 the user	data
   1 the usual dull PDF	Flash video file
   1 the vaccine detection	technologies
   1 the vast majority	backdoors
   1 the victim	The infection site tests
   1 the victim	a 
   1 the victim	a network
   1 the victim	information
   1 the victim host	variant checks
   1 the victim spread	organizations
   1 the volume serial number	a launch point
   1 the vulnerability	a primary tool
   1 the vulnerability	information
   1 the way	the same exact file properties
   1 the whole file	similar manner
   1 the widespread use	North Korea
   1 the word	processes
   1 the worker component	Winnti system
   1 the wrong target	an apparent error
   1 the xpi file	an extension
   2 the attack	a whole
   2 the company	locations
   2 the computer name	system information
   2 the encryption	framework
   2 the file	malware
   2 the following	mechanisms
   2 the form	a string
   2 the form	a web pop
   2 the form	an executable file
   2 the form	another piece
   2 the form	emails
   2 the fundamental first step	characterizations
   2 the keylogger	tools
   2 the loopback address	IP
   2 the malware	Windows executable
   2 the malware	data
   2 the payload	a service
   2 the same domain registration information	the well
   2 the same prefix	the loader
   2 the same time	Trojan
   2 the same way	hillaryclinton
   2 the same weak encryption algorithm	BS2005
   2 the wild	part
   3 the energy	industries
   3 the form	blog posts
   3 the payload	NetWire
   3 the same directory	the original dropper
   1 theft	common financial fraud
   1 themes	lures
   1 themes	the campaign
   1 themes	the infrastructure
   1 this activity	Blackfly
   1 this activity	an 
   1 this analysis	PowerPoint slideshow file
   1 this attack method	a watering hole attack
   1 this backdoor	T9000
   1 this blog	malware
   1 this campaign	BKDR ELISE
   1 this campaign	campaigns
   1 this case	CPL file
   1 this case	Farfli variant
   1 this case	Microsoft Word document
   1 this context	a nation
   1 this date	the callback domain
   1 this declaration	a statement
   1 this educational website http	Israeli websites
   1 this espionage	a means
   1 this event	part
   1 this exercise	a precursor
   1 this export	a parameter
   1 this family	ByeByeShell
   1 this family	a percentage
   1 this file	Backdoor
   1 this file	library
   1 this file	ransomware
   1 this finding points	a context
   1 this folder	word
   1 this form	journalism
   1 this form	retaliation
   1 this function	Integerize sub 44C1C0
   1 this group	APT28
   1 this group	Trojan
   1 this information	the sole command line argument
   1 this malicious code	a hacker
   1 this malware	Backdoor
   1 this malware	SunOrcal
   1 this malware	Trojan backdoor
   1 this malware	UpDocX UpDocX
   1 this malware	a realistic simulated exercise
   1 this method	means
   1 this move	a 
   1 this name requirement	an added measure
   1 this new form	conflict
   1 this one	a structure
   1 this ongoing research	an opportunity
   1 this operation	WhiskeyBravo
   1 this paper	BlackEnergy
   1 this parameter	a decryption key
   1 this particular malicious file	Exploit
   1 this past summer	a way
   1 this possibility	quite remote
   1 this random number	a command line argument
   1 this request functions	a means
   1 this research	English words
   1 this sample	Derusbi Trojan
   1 this section	OSBoot
   1 this section	hacktivist groups
   1 this server	a vector
   1 this sleep	Seems
   1 this snippet	data
   1 this socket	a file
   1 this sort	activity enable anyone
   1 this sort	advanced persistent threat
   1 this sort	corporate environment
   1 this sort	emergent mob
   1 this sort	information
   1 this sort	malware component
   1 this sort	payload
   1 this sort	trick
   1 this sort	work
   1 this step	part
   1 this targeted attack	Trojan
   1 this technique	ASLR bypass
   1 this technique	a filtering mechanism
   1 this technique	a kind
   1 this threat	ExPetr
   1 this threat	RDN
   1 this threat	Win32
   1 this time frame	a result
   1 this tool	a payload
   1 this topic	a lure
   1 this value	a command line parameter
   1 this variant	Troj
   2 this payload	Backdoor
   2 this sample	malware
   3 this threat	Backdoor
   2 those operating	institutions
   1 threat detection	services
   1 threat intelligence	a whole
   1 threat intelligence	issues
   1 threat intelligence	services
   2 threat actors	part
   2 threat detection	issues
   1 threats	Trojan
   1 threats	harassment
   1 time	Apple 
   1 time	North Korea 
   1 time	other system information
   1 timestamps	Stuxnet
   1 timestamps	data
   1 timestamps	file information
   1 timestamps	mutex names
   1 timing	indicators
   1 titles	clients
   1 tnyjs	the exploitation
   1 tools	APT
   1 tools	APTs
   1 tools	Operation
   1 tools	a lure
   1 tools	elements
   1 tools	procedures
   1 torrents	available free web sources
   1 torture	UAE
   1 torture	abuses
   1 trade	issues
   1 trade secrets	steal intellectual property
   1 traditional cyber crime tools	a component
   1 traffic management	situations
   1 traffic relaying	RATs
   1 training	an English linguist
   1 transactiona 	campaign
   1 transfer references	fields
   1 transportation	activities
   1 transportation	services
   1 transportation Victim	areas
   1 travel ban	the security authorities
   1 travel bans	sanctions
   1 treaties	norms
   1 trusted security software	a decoy
   1 twitter accounts	attackers
   1 type	research
   1 types	part
   1 underground market	a commercial product
   1 unique bot id	data
   1 unique form	communication encryption
   1 unknown software vulnerabilities	means
   1 updates	a backup domain
   1 upgrades	part
   1 upload	zip ASDELETE 
   1 uploading	functions
   1 uptime	process information
   1 uranium enrichment facilities	part
   1 uranium enrichment system	a whole
   1 urls	things
   1 usage	clusters
   1 usage	this operation
   1 use	DNS domains
   1 use	a front
   1 use	a means
   1 use	infrastructure
   1 use	part
   1 use	the backdoor
   1 use English	a primary language
   1 use Russian mail	Ukrainians
   1 user account authentication	AD domain
   1 user group membership	gathers system information
   1 user interaction	a countermeasure
   1 user name	gathers system information
   1 user name	the attacker
   1 user name	the client
   1 user name	the computer
   1 user passwords	credentials
   2 user name	system information
   1 username	Collect system information
   1 username	basic system information
   1 username	the client
   1 usernames	IT details
   1 usernames	credentials
   1 usernames	data
   2 users	users
   1 utilities	components
   1 utility	a reverse backdoor shell
   1 v1	RAT
   1 vSkimmer	Dexter
   1 validation issues	the value
